Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
76,15.95,78.09,0.13,5.02,19.14,3.00,0.33,39.00,35.74,6.65,75.66,0.07,0.00,0.00,0.00,94.80
77,17.94,74.69,0.47,7.08,24.56,5.00,0.59,39.00,39.91,9.14,74.92,0.13,0.00,0.00,0.00,99.92
78,5.19,22.22,0.31,6.59,19.82,5.00,0.57,16.00,39.65,7.27,26.00,0.11,0.00,0.00,0.00,91.29
79,7.38,29.67,0.34,7.92,21.04,6.00,0.32,21.00,42.42,8.61,34.69,0.07,0.00,0.00,0.00,99.40
80,7.35,31.12,0.37,5.65,22.48,4.00,0.57,18.00,49.46,8.26,34.08,0.12,0.00,0.00,0.00,95.06
81,7.13,30.79,0.45,8.32,15.04,5.00,0.19,29.00,46.86,9.97,34.17,0.04,0.00,0.00,0.00,95.52
82,5.05,23.15,0.22,5.18,17.34,3.00,0.21,20.00,39.92,7.48,27.21,0.04,0.00,0.00,0.00,88.70
83,9.65,36.65,0.80,12.56,23.25,8.00,0.44,24.00,42.08,12.88,41.90,0.09,0.00,0.00,0.00,100.52
84,6.38,27.45,0.26,5.26,25.21,4.00,0.59,20.00,39.76,7.84,30.96,0.12,0.00,0.00,0.00,89.85
85,2.72,14.44,0.12,3.75,17.36,3.00,0.55,15.00,28.93,6.97,15.93,0.08,0.00,0.00,0.00,82.80
86,5.12,21.80,0.27,4.88,20.91,4.00,0.36,20.00,35.61,7.19,24.90,0.08,0.00,0.00,0.00,93.32
87,7.05,30.20,0.42,7.72,23.11,5.00,0.67,22.00,40.14,9.01,31.02,0.14,0.00,0.00,0.00,94.32
88,6.98,27.97,0.14,3.84,19.43,3.00,0.43,29.00,30.51,6.46,28.16,0.10,0.00,0.00,0.00,93.19
89,4.98,25.35,0.10,5.22,18.62,2.00,0.37,18.00,34.45,7.09,25.03,0.08,0.00,0.00,0.00,92.01
90,2.36,10.76,0.33,4.68,20.97,3.00,0.57,10.00,48.09,9.26,14.18,0.13,0.00,0.00,0.00,86.56
91,2.28,12.33,0.38,6.41,18.97,5.00,0.53,14.00,48.28,7.76,14.13,0.11,0.00,0.00,0.00,80.06
92,7.27,32.88,0.41,7.03,16.68,6.00,0.39,24.00,45.46,9.06,37.20,0.07,0.00,0.00,0.00,89.00
93,13.02,51.55,0.32,4.66,20.43,5.00,0.33,33.00,42.30,8.56,52.95,0.08,0.00,0.00,0.00,104.01
94,5.73,27.68,0.22,4.72,24.35,4.00,0.99,26.00,41.48,7.19,31.44,0.20,0.00,0.00,0.00,87.54
95,16.32,67.28,0.17,4.69,20.31,4.00,0.55,45.00,34.53,6.52,69.74,0.14,0.00,0.00,0.00,99.39
96,16.74,66.30,0.26,4.71,23.42,4.00,0.66,28.00,41.32,7.57,73.18,0.12,0.00,0.00,0.00,103.04
97,5.19,22.96,0.27,5.02,20.86,4.00,0.74,16.00,44.51,8.71,28.54,0.16,0.00,0.00,0.00,90.85
98,7.08,28.79,0.29,7.18,18.33,8.00,0.49,24.00,37.95,8.00,33.28,0.10,0.00,0.00,0.00,94.02
99,7.02,28.64,0.12,3.87,22.33,3.00,0.86,24.00,31.87,6.18,31.86,0.16,0.00,0.00,0.00,92.76
100,3.98,18.52,0.27,6.65,19.92,3.00,0.69,14.00,40.48,8.13,21.85,0.16,0.00,0.00,0.00,84.74
Average,7.78,33.65,0.32,6.17,20.79,4.53,0.48,23.11,40.37,8.22,36.50,0.10,0.00,0.00,0.00,93.00
Std Dev,5.02,20.64,0.13,1.57,2.43,1.21,0.18,9.28,4.52,1.27,20.61,0.04,0.00,0.00,0.00,6.55
